Sample;Speech;Noise;SNR;STOI orig.;STOI pred.;eSTOI orig.;eSTOI pred.;PESQ orig.;PESQ pred.
228;DR2-MCEM0-SX408;Hallway;-6;0.794;0.889;0.453;0.621;1.042;1.987
229;DR2-MCEM0-SX48;Subway station;-2;0.672;0.769;0.325;0.381;1.059;1.444
230;DR2-MDBB0-SA1;Bus;-2;0.941;0.953;0.878;0.915;1.216;2.945
231;DR2-MDBB0-SA2;Traffic;0;0.759;0.813;0.576;0.642;1.021;1.604
232;DR2-MDBB0-SI1195;Hallway;6;0.947;0.956;0.774;0.85;1.27;2.194
233;DR2-MDBB0-SI1825;Copy machine;-2;0.543;0.631;0.266;0.311;1.034;1.074
234;DR2-MDBB0-SI565;Cafeteria;0;0.652;0.691;0.434;0.486;1.048;1.172
235;DR2-MDBB0-SX115;Cafeteria;2;0.741;0.785;0.435;0.521;1.048;1.228
236;DR2-MDBB0-SX205;Sports Field;2;0.97;0.979;0.879;0.919;1.092;2.806
237;DR2-MDBB0-SX25;City park;-2;0.621;0.698;0.48;0.518;1.019;1.168
238;DR2-MDBB0-SX295;Restaurant;0;0.571;0.612;0.28;0.29;1.035;1.081
239;DR2-MDBB0-SX385;Town square;6;0.917;0.925;0.757;0.786;1.139;1.949
240;DR2-MDLD0-SA1;Hallway;2;0.818;0.865;0.66;0.752;1.046;1.663
241;DR2-MDLD0-SA2;Bus;-8;0.779;0.797;0.574;0.637;1.027;1.482
242;DR2-MDLD0-SI1543;Metro;-6;0.63;0.727;0.333;0.442;1.033;1.159
243;DR2-MDLD0-SI2173;Speech-shaped noise;-4;0.562;0.671;0.238;0.416;1.049;1.191
244;DR2-MDLD0-SI913;Town square;-6;0.808;0.856;0.486;0.581;1.027;1.472
245;DR2-MDLD0-SX103;Sports Field;2;0.919;0.937;0.765;0.822;1.085;2.573
246;DR2-MDLD0-SX13;Sports Field;-4;0.797;0.852;0.62;0.686;1.022;1.451
247;DR2-MDLD0-SX193;Living room;0;0.702;0.764;0.531;0.623;1.03;1.605
248;DR2-MDLD0-SX283;Subway station;-2;0.716;0.815;0.394;0.557;1.035;1.407
249;DR2-MDLD0-SX373;Sports Field;4;0.935;0.956;0.815;0.894;1.106;2.567
250;DR2-MGWT0-SA1;Copy machine;0;0.663;0.735;0.424;0.523;1.039;1.203
251;DR2-MGWT0-SA2;Sports Field;0;0.857;0.901;0.697;0.806;1.044;2.085
252;DR2-MGWT0-SI1539;Hallway;2;0.918;0.924;0.77;0.825;1.265;2.134
253;DR2-MGWT0-SI2169;Restaurant;2;0.75;0.797;0.442;0.536;1.083;1.269
254;DR2-MGWT0-SI909;Sports Field;2;0.934;0.947;0.858;0.894;1.069;2.75
255;DR2-MGWT0-SX189;River;4;0.772;0.828;0.507;0.579;1.129;1.528
256;DR2-MGWT0-SX279;Metro;6;0.982;0.98;0.866;0.896;1.554;2.438
257;DR2-MGWT0-SX369;Sports Field;4;0.937;0.95;0.719;0.825;1.136;2.744
258;DR2-MGWT0-SX99;Subway station;6;0.899;0.924;0.688;0.802;1.109;2.104
259;DR2-MGWT0-SX9;Town square;-6;0.664;0.738;0.526;0.598;1.021;1.382
260;DR2-MJAR0-SA1;Subway station;-8;0.573;0.677;0.33;0.46;1.019;1.094
261;DR2-MJAR0-SA2;Sports Field;4;0.938;0.946;0.819;0.892;1.034;2.336
262;DR2-MJAR0-SI1988;Sports Field;4;0.967;0.97;0.891;0.919;1.068;2.805
263;DR2-MJAR0-SI2247;Cafeteria;-6;0.472;0.593;0.278;0.406;1.033;1.084
264;DR2-MJAR0-SI728;Bus;2;0.988;0.984;0.939;0.943;1.3;3.284
265;DR2-MJAR0-SX188;Subway station;-8;0.527;0.604;0.216;0.258;1.019;1.092
266;DR2-MJAR0-SX278;River;-8;0.878;0.914;0.713;0.803;1.038;1.498
267;DR2-MJAR0-SX368;City park;4;0.862;0.896;0.662;0.756;1.043;1.595
268;DR2-MJAR0-SX8;Hallway;6;0.951;0.952;0.901;0.918;1.244;2.81
269;DR2-MJAR0-SX98;Bus;-8;0.847;0.882;0.595;0.671;1.03;1.595
270;DR2-MMDB1-SA1;Town square;-6;0.537;0.619;0.303;0.406;1.177;1.118
271;DR2-MMDB1-SA2;Metro;6;0.969;0.956;0.892;0.892;1.569;2.633
272;DR2-MMDB1-SI1625;Sports Field;4;0.97;0.973;0.836;0.884;1.085;2.266
273;DR2-MMDB1-SI2255;Subway station;4;0.833;0.881;0.57;0.69;1.072;1.715
274;DR2-MMDB1-SI995;Copy machine;6;0.767;0.822;0.517;0.609;1.168;1.352
275;DR2-MMDB1-SX185;Subway station;-2;0.641;0.72;0.428;0.492;1.04;1.378
276;DR2-MMDB1-SX275;Speech-shaped noise;2;0.78;0.86;0.468;0.599;1.17;1.624
277;DR2-MMDB1-SX365;Metro;-6;0.77;0.845;0.416;0.533;1.032;1.391
278;DR2-MMDB1-SX5;Bus;-8;0.759;0.818;0.565;0.645;1.03;1.333
279;DR2-MMDB1-SX95;Restaurant;2;0.733;0.762;0.416;0.486;1.088;1.25
280;DR2-MMDM2-SA1;Bus;6;0.982;0.981;0.948;0.957;2.352;3.392
281;DR2-MMDM2-SA2;Town square;-6;0.85;0.89;0.642;0.733;1.046;2.033
282;DR2-MMDM2-SI1452;Town square;2;0.899;0.934;0.639;0.771;1.128;2.096
283;DR2-MMDM2-SI1555;Metro;-2;0.712;0.819;0.405;0.538;1.158;1.391
284;DR2-MMDM2-SI2082;City park;-6;0.71;0.794;0.346;0.388;1.046;1.188
285;DR2-MMDM2-SX102;City park;2;0.809;0.877;0.464;0.617;1.112;1.649
286;DR2-MMDM2-SX12;Copy machine;-8;0.479;0.607;0.387;0.434;1.25;1.171
287;DR2-MMDM2-SX192;Subway station;4;0.801;0.829;0.523;0.678;1.146;2.135
288;DR2-MMDM2-SX282;Traffic;-4;0.859;0.915;0.524;0.686;1.041;1.791
289;DR2-MMDM2-SX372;Sports Field;-8;0.785;0.878;0.453;0.654;1.04;1.77
290;DR2-MPDF0-SA1;Metro;4;0.88;0.905;0.679;0.782;1.083;2.182
291;DR2-MPDF0-SA2;Restaurant;-6;0.471;0.586;0.206;0.258;1.05;1.074
292;DR2-MPDF0-SI1542;Sports Field;2;0.948;0.962;0.834;0.903;1.089;2.643
293;DR2-MPDF0-SI2172;Restaurant;2;0.815;0.864;0.412;0.551;1.092;1.297
