Sample;Speech;Noise;SNR;STOI orig.;STOI pred.;eSTOI orig.;eSTOI pred.;PESQ orig.;PESQ pred.
1308;DR6-MJFC0-SX403;City park;0;0.821;0.897;0.606;0.688;1.083;1.752
1309;DR6-MJFC0-SX43;Restaurant;-8;0.462;0.406;0.163;0.159;1.048;1.113
1310;DR6-MPAM1-SA1;Speech-shaped noise;4;0.766;0.866;0.526;0.726;1.097;1.901
1311;DR6-MPAM1-SA2;Meeting room;-4;0.61;0.609;0.392;0.451;1.036;1.135
1312;DR6-MPAM1-SI1029;Restaurant;2;0.603;0.689;0.452;0.473;1.073;1.399
1313;DR6-MPAM1-SI1836;Subway station;6;0.91;0.951;0.657;0.819;1.15;2.216
1314;DR6-MPAM1-SI576;Speech-shaped noise;2;0.681;0.841;0.41;0.609;1.093;1.77
1315;DR6-MPAM1-SX126;Bus;0;0.971;0.974;0.903;0.933;1.329;2.776
1316;DR6-MPAM1-SX216;Cafeteria;6;0.758;0.836;0.561;0.646;1.116;1.675
1317;DR6-MPAM1-SX306;Bus;-6;0.976;0.979;0.921;0.945;1.183;2.875
1318;DR6-MPAM1-SX36;Restaurant;2;0.714;0.801;0.431;0.576;1.075;1.467
1319;DR6-MPAM1-SX396;Traffic;-8;0.691;0.767;0.385;0.494;1.02;1.266
1320;DR6-MRJR0-SA1;Sports Field;-4;0.854;0.896;0.621;0.763;1.019;1.399
1321;DR6-MRJR0-SA2;Meeting room;-8;0.603;0.612;0.363;0.369;1.026;1.069
1322;DR6-MRJR0-SI1182;Hallway;6;0.965;0.975;0.891;0.931;1.474;2.603
1323;DR6-MRJR0-SI1812;River;-8;0.685;0.763;0.417;0.544;1.024;1.434
1324;DR6-MRJR0-SI2313;Town square;4;0.885;0.926;0.687;0.81;1.042;2.041
1325;DR6-MRJR0-SX102;Sports Field;4;0.961;0.97;0.834;0.904;1.156;2.415
1326;DR6-MRJR0-SX12;Hallway;2;0.964;0.976;0.932;0.959;1.224;3.753
1327;DR6-MRJR0-SX192;Copy machine;0;0.6;0.718;0.326;0.462;1.037;1.281
1328;DR6-MRJR0-SX282;Copy machine;6;0.784;0.876;0.505;0.64;1.124;1.594
1329;DR6-MRJR0-SX372;Cafeteria;-4;0.706;0.728;0.288;0.428;1.034;1.171
1330;DR6-MRJS0-SA1;Traffic;-6;0.685;0.828;0.443;0.599;1.021;1.675
1331;DR6-MRJS0-SA2;Town square;-2;0.761;0.862;0.564;0.733;1.026;1.749
1332;DR6-MRJS0-SI1444;Restaurant;-6;0.487;0.545;0.173;0.257;1.302;1.219
1333;DR6-MRJS0-SI1523;Hallway;-6;0.748;0.876;0.613;0.773;1.042;2.751
